# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 19 14:19:54 2017
#
# CONSTRAINT:  where (koi_disposition like '%CONFIRMED%'
# CONSTRAINT:  and koi_pdisposition like 'CANDIDATE'
# CONSTRAINT:  )
#
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_prad:       Planetary Radius [Earth radii]
#
rowid,koi_disposition,koi_pdisposition,koi_prad
1,CONFIRMED,CANDIDATE,2.26
2,CONFIRMED,CANDIDATE,2.83
5,CONFIRMED,CANDIDATE,2.75
6,CONFIRMED,CANDIDATE,3.90
7,CONFIRMED,CANDIDATE,2.77
8,CONFIRMED,CANDIDATE,1.59
10,CONFIRMED,CANDIDATE,5.76
11,CONFIRMED,CANDIDATE,13.04
12,CONFIRMED,CANDIDATE,16.10
13,CONFIRMED,CANDIDATE,14.59
14,CONFIRMED,CANDIDATE,1.16
19,CONFIRMED,CANDIDATE,2.47
20,CONFIRMED,CANDIDATE,2.85
22,CONFIRMED,CANDIDATE,2.55
23,CONFIRMED,CANDIDATE,1.70
24,CONFIRMED,CANDIDATE,1.30
26,CONFIRMED,CANDIDATE,2.95
27,CONFIRMED,CANDIDATE,2.78
28,CONFIRMED,CANDIDATE,2.30
32,CONFIRMED,CANDIDATE,2.82
33,CONFIRMED,CANDIDATE,3.86
34,CONFIRMED,CANDIDATE,2.65
35,CONFIRMED,CANDIDATE,3.10
36,CONFIRMED,CANDIDATE,3.36
37,CONFIRMED,CANDIDATE,2.12
40,CONFIRMED,CANDIDATE,2.10
42,CONFIRMED,CANDIDATE,2.94
43,CONFIRMED,CANDIDATE,5.50
44,CONFIRMED,CANDIDATE,2.52
45,CONFIRMED,CANDIDATE,4.43
46,CONFIRMED,CANDIDATE,12.21
48,CONFIRMED,CANDIDATE,1.89
49,CONFIRMED,CANDIDATE,3.25
50,CONFIRMED,CANDIDATE,3.95
51,CONFIRMED,CANDIDATE,3.07
52,CONFIRMED,CANDIDATE,2.64
53,CONFIRMED,CANDIDATE,1.79
55,CONFIRMED,CANDIDATE,2.00
56,CONFIRMED,CANDIDATE,2.16
57,CONFIRMED,CANDIDATE,1.99
58,CONFIRMED,CANDIDATE,6.02
60,CONFIRMED,CANDIDATE,1.99
62,CONFIRMED,CANDIDATE,2.34
65,CONFIRMED,CANDIDATE,2.65
66,CONFIRMED,CANDIDATE,5.31
67,CONFIRMED,CANDIDATE,4.86
68,CONFIRMED,CANDIDATE,1.93
69,CONFIRMED,CANDIDATE,1.91
70,CONFIRMED,CANDIDATE,2.66
71,CONFIRMED,CANDIDATE,2.87
74,CONFIRMED,CANDIDATE,3.12
75,CONFIRMED,CANDIDATE,3.32
77,CONFIRMED,CANDIDATE,2.59
78,CONFIRMED,CANDIDATE,2.36
79,CONFIRMED,CANDIDATE,7.40
82,CONFIRMED,CANDIDATE,2.06
83,CONFIRMED,CANDIDATE,2.77
86,CONFIRMED,CANDIDATE,1.96
87,CONFIRMED,CANDIDATE,1.83
88,CONFIRMED,CANDIDATE,1.31
89,CONFIRMED,CANDIDATE,1.20
90,CONFIRMED,CANDIDATE,7.34
91,CONFIRMED,CANDIDATE,2.32
92,CONFIRMED,CANDIDATE,9.73
97,CONFIRMED,CANDIDATE,8.90
98,CONFIRMED,CANDIDATE,0.79
99,CONFIRMED,CANDIDATE,12.19
100,CONFIRMED,CANDIDATE,1.91
103,CONFIRMED,CANDIDATE,11.30
105,CONFIRMED,CANDIDATE,3.41
106,CONFIRMED,CANDIDATE,2.03
108,CONFIRMED,CANDIDATE,3.12
109,CONFIRMED,CANDIDATE,1.70
110,CONFIRMED,CANDIDATE,2.76
111,CONFIRMED,CANDIDATE,4.02
112,CONFIRMED,CANDIDATE,11.58
114,CONFIRMED,CANDIDATE,5.52
115,CONFIRMED,CANDIDATE,1.80
116,CONFIRMED,CANDIDATE,2.10
120,CONFIRMED,CANDIDATE,2.89
121,CONFIRMED,CANDIDATE,3.38
124,CONFIRMED,CANDIDATE,11.01
125,CONFIRMED,CANDIDATE,2.11
126,CONFIRMED,CANDIDATE,1.46
127,CONFIRMED,CANDIDATE,2.44
130,CONFIRMED,CANDIDATE,8.99
131,CONFIRMED,CANDIDATE,5.00
132,CONFIRMED,CANDIDATE,1.06
133,CONFIRMED,CANDIDATE,6.50
137,CONFIRMED,CANDIDATE,7.89
138,CONFIRMED,CANDIDATE,3.06
139,CONFIRMED,CANDIDATE,2.32
140,CONFIRMED,CANDIDATE,1.62
141,CONFIRMED,CANDIDATE,1.53
142,CONFIRMED,CANDIDATE,2.67
143,CONFIRMED,CANDIDATE,2.35
144,CONFIRMED,CANDIDATE,2.37
146,CONFIRMED,CANDIDATE,2.25
147,CONFIRMED,CANDIDATE,1.48
149,CONFIRMED,CANDIDATE,8.24
150,CONFIRMED,CANDIDATE,5.39
151,CONFIRMED,CANDIDATE,2.66
152,CONFIRMED,CANDIDATE,3.01
153,CONFIRMED,CANDIDATE,3.01
155,CONFIRMED,CANDIDATE,2.31
156,CONFIRMED,CANDIDATE,2.64
157,CONFIRMED,CANDIDATE,6.21
158,CONFIRMED,CANDIDATE,4.35
159,CONFIRMED,CANDIDATE,3.75
160,CONFIRMED,CANDIDATE,13.84
161,CONFIRMED,CANDIDATE,7.59
163,CONFIRMED,CANDIDATE,2.29
164,CONFIRMED,CANDIDATE,2.47
165,CONFIRMED,CANDIDATE,3.68
167,CONFIRMED,CANDIDATE,2.56
168,CONFIRMED,CANDIDATE,3.03
169,CONFIRMED,CANDIDATE,2.32
170,CONFIRMED,CANDIDATE,1.94
171,CONFIRMED,CANDIDATE,11.38
173,CONFIRMED,CANDIDATE,2.47
174,CONFIRMED,CANDIDATE,8.20
175,CONFIRMED,CANDIDATE,2.28
178,CONFIRMED,CANDIDATE,1.41
180,CONFIRMED,CANDIDATE,2.62
181,CONFIRMED,CANDIDATE,3.11
182,CONFIRMED,CANDIDATE,2.69
183,CONFIRMED,CANDIDATE,2.67
185,CONFIRMED,CANDIDATE,7.78
187,CONFIRMED,CANDIDATE,3.91
188,CONFIRMED,CANDIDATE,5.51
189,CONFIRMED,CANDIDATE,2.43
190,CONFIRMED,CANDIDATE,1.86
191,CONFIRMED,CANDIDATE,3.07
192,CONFIRMED,CANDIDATE,1.69
193,CONFIRMED,CANDIDATE,1.73
194,CONFIRMED,CANDIDATE,1.65
197,CONFIRMED,CANDIDATE,8.46
198,CONFIRMED,CANDIDATE,1.97
199,CONFIRMED,CANDIDATE,2.36
200,CONFIRMED,CANDIDATE,2.35
201,CONFIRMED,CANDIDATE,1.55
204,CONFIRMED,CANDIDATE,2.33
205,CONFIRMED,CANDIDATE,2.18
206,CONFIRMED,CANDIDATE,1.42
208,CONFIRMED,CANDIDATE,3.16
209,CONFIRMED,CANDIDATE,2.54
210,CONFIRMED,CANDIDATE,3.20
212,CONFIRMED,CANDIDATE,2.66
214,CONFIRMED,CANDIDATE,4.53
217,CONFIRMED,CANDIDATE,4.16
218,CONFIRMED,CANDIDATE,3.13
220,CONFIRMED,CANDIDATE,1.74
221,CONFIRMED,CANDIDATE,1.72
222,CONFIRMED,CANDIDATE,1.29
223,CONFIRMED,CANDIDATE,1.30
224,CONFIRMED,CANDIDATE,2.45
226,CONFIRMED,CANDIDATE,10.51
227,CONFIRMED,CANDIDATE,8.95
228,CONFIRMED,CANDIDATE,3.52
229,CONFIRMED,CANDIDATE,13.16
232,CONFIRMED,CANDIDATE,6.96
233,CONFIRMED,CANDIDATE,1.85
234,CONFIRMED,CANDIDATE,1.90
237,CONFIRMED,CANDIDATE,4.14
238,CONFIRMED,CANDIDATE,2.96
239,CONFIRMED,CANDIDATE,13.12
240,CONFIRMED,CANDIDATE,2.23
241,CONFIRMED,CANDIDATE,1.66
242,CONFIRMED,CANDIDATE,2.48
243,CONFIRMED,CANDIDATE,2.25
244,CONFIRMED,CANDIDATE,1.16
245,CONFIRMED,CANDIDATE,0.91
246,CONFIRMED,CANDIDATE,1.11
248,CONFIRMED,CANDIDATE,2.85
249,CONFIRMED,CANDIDATE,3.43
250,CONFIRMED,CANDIDATE,2.34
251,CONFIRMED,CANDIDATE,1.18
252,CONFIRMED,CANDIDATE,10.55
254,CONFIRMED,CANDIDATE,1.85
255,CONFIRMED,CANDIDATE,1.62
256,CONFIRMED,CANDIDATE,1.75
258,CONFIRMED,CANDIDATE,2.47
259,CONFIRMED,CANDIDATE,2.43
260,CONFIRMED,CANDIDATE,1.08
261,CONFIRMED,CANDIDATE,2.72
262,CONFIRMED,CANDIDATE,3.14
263,CONFIRMED,CANDIDATE,1.36
264,CONFIRMED,CANDIDATE,3.09
265,CONFIRMED,CANDIDATE,2.64
266,CONFIRMED,CANDIDATE,10.60
268,CONFIRMED,CANDIDATE,2.68
270,CONFIRMED,CANDIDATE,9.66
272,CONFIRMED,CANDIDATE,13.61
274,CONFIRMED,CANDIDATE,13.26
276,CONFIRMED,CANDIDATE,3.94
278,CONFIRMED,CANDIDATE,10.98
280,CONFIRMED,CANDIDATE,2.60
281,CONFIRMED,CANDIDATE,2.53
282,CONFIRMED,CANDIDATE,2.95
283,CONFIRMED,CANDIDATE,1.70
284,CONFIRMED,CANDIDATE,2.94
286,CONFIRMED,CANDIDATE,3.13
289,CONFIRMED,CANDIDATE,3.82
291,CONFIRMED,CANDIDATE,2.11
292,CONFIRMED,CANDIDATE,2.06
293,CONFIRMED,CANDIDATE,1.57
294,CONFIRMED,CANDIDATE,2.30
295,CONFIRMED,CANDIDATE,3.18
296,CONFIRMED,CANDIDATE,10.43
298,CONFIRMED,CANDIDATE,4.09
299,CONFIRMED,CANDIDATE,2.58
300,CONFIRMED,CANDIDATE,3.05
301,CONFIRMED,CANDIDATE,5.50
302,CONFIRMED,CANDIDATE,5.22
303,CONFIRMED,CANDIDATE,4.00
305,CONFIRMED,CANDIDATE,2.13
306,CONFIRMED,CANDIDATE,1.24
307,CONFIRMED,CANDIDATE,10.62
308,CONFIRMED,CANDIDATE,2.74
309,CONFIRMED,CANDIDATE,3.12
310,CONFIRMED,CANDIDATE,1.45
311,CONFIRMED,CANDIDATE,1.78
313,CONFIRMED,CANDIDATE,3.43
314,CONFIRMED,CANDIDATE,43.17
315,CONFIRMED,CANDIDATE,2.07
317,CONFIRMED,CANDIDATE,2.32
333,CONFIRMED,CANDIDATE,7.67
336,CONFIRMED,CANDIDATE,2.47
337,CONFIRMED,CANDIDATE,1.62
339,CONFIRMED,CANDIDATE,13.92
343,CONFIRMED,CANDIDATE,1.78
344,CONFIRMED,CANDIDATE,8.78
349,CONFIRMED,CANDIDATE,1.69
353,CONFIRMED,CANDIDATE,1.41
356,CONFIRMED,CANDIDATE,5.88
357,CONFIRMED,CANDIDATE,7.62
359,CONFIRMED,CANDIDATE,1.59
374,CONFIRMED,CANDIDATE,2.54
375,CONFIRMED,CANDIDATE,1.67
376,CONFIRMED,CANDIDATE,2.39
377,CONFIRMED,CANDIDATE,2.39
378,CONFIRMED,CANDIDATE,1.54
380,CONFIRMED,CANDIDATE,2.48
381,CONFIRMED,CANDIDATE,2.73
383,CONFIRMED,CANDIDATE,2.03
389,CONFIRMED,CANDIDATE,7.14
393,CONFIRMED,CANDIDATE,1.92
394,CONFIRMED,CANDIDATE,1.75
395,CONFIRMED,CANDIDATE,1.67
401,CONFIRMED,CANDIDATE,1.68
402,CONFIRMED,CANDIDATE,3.51
406,CONFIRMED,CANDIDATE,2.01
408,CONFIRMED,CANDIDATE,1.23
409,CONFIRMED,CANDIDATE,3.63
410,CONFIRMED,CANDIDATE,1.21
411,CONFIRMED,CANDIDATE,2.18
412,CONFIRMED,CANDIDATE,2.82
415,CONFIRMED,CANDIDATE,12.14
417,CONFIRMED,CANDIDATE,1.14
418,CONFIRMED,CANDIDATE,2.98
419,CONFIRMED,CANDIDATE,1.70
420,CONFIRMED,CANDIDATE,2.96
